course,opentext,link,notes,current-text,current-cost
ECON 201: Principles of Macroeconomics,Principles of Macroeconomics for APÂ® Courses,https://cnx.org/contents/MwdgVOwd@2.156:CSCWn8lc@3/Introduction,OpenStax,BSU PRINCIPLES OF MACROECONOMICS 2/E LL W/AC -Norton,$118
ECON 202: Principles of Microeconomics,Principles of Microeconomics for APÂ® Courses,https://cnx.org/contents/ca344e2d-6731-43cd-b851-a7b3aa0b37aa,OpenStax,BSU PRINCIPLES OF MICROECONOMICS 2/E LL W/AC - Norton,$119
HIST 101: Western Civilization I,,,,"BSU MAKING OF THE WEST, VOLUME 1 5/E PA & SOURCES 4/E PA BUNDLE - MacMillan, WESTERN CIVILIZATION VOL I 10/E PA - Cengage","$88, $152"
HIST 102: Western Civilization II,,,,"BSU WESTERN CIVILIZATIONS: BRIEF 4/E VOL 2 PA W/AC - Norton, DISCOVERING THE WESTERN PAST VOL 2 7/E PA - Cengage, HARD TIMES (REV REISSUE)(ED: FLINT) - Penguin, UNDER A CRUEL STAR 1/E PA - Renner, UNDERSTANDING WESTERN SOCIETY: A HISTORY VOL 2 2/E - MacMillan, WESTERN CIVILIZATION VOL II 10/E - Cengage
","$77.75, $90.50, $6.75, $18.25, $111.5, $152"
HIST 111: United States (U.S.) History I,U.S. History,https://cnx.org/contents/p7ovuIkl@3.104:gMXC1GEM@3/Introduction,OpenStax,"BSU AMERICAN PROMISE 6/E W/SCARLET LETTER BUNDLE - MacMillan, OF THE PEOPLE: HISTORY OF THE US, VOL 1 - Oxford, U.S. NARRATIVE HISTORY VOL 1: TO 1865 - McGraw-Hill
","$75.25, $75, $122"
HIST 112: United States (U.S.) History II,U.S. History,https://cnx.org/contents/p7ovuIkl@3.104:gMXC1GEM@3/Introduction,OpenStax,"BSU GIVE ME LIBERTY SEAGULL 4/E VOLUME 2 - Norton, GIVE ME LIBERTY! SEAGULL 5/E VOL 2 PA - Norton, GIVE ME LIBERTY!, VOL. 1:AN AMERICAN HISTORY - Norton, PORTRAIT OF AMERICA VOL 2 10/E PA - Cengage","$64.50, $67.00, $66.50, $84.00
"
POLS 101: American National Government,OpenStax American Government,OpenStax American Government,OpenStax ,BSU AMERICAN GOVERNMENT 14/E PA - Norton,$110
PSYC 101: Introduction to General Psychology,Psychology,https://cnx.org/contents/4abf04bf-93a0-45c3-9cbc-2cefd46e68cc,OpenStax,BSU EXPLORING PSYC IN MODULES W/LAUNCHPAD 10/E (BSU CUSTOM),$135.75
SOC 101: Introduction to Sociology,Introduction to Sociology,https://cnx.org/contents/afe4332a-c97f-4fc4-be27-4e4d384a32d8,OpenStax,BSU Range from no text required to ESSENTIALS OF SOCIOLOGY 12/E PA - Pearson,$192.75
SOC 102: Social Problems,Social Problems: Continuity and Change,https://open.umn.edu/opentextbooks/BookDetail.aspx?bookId=141,Open Textbook Network,"BSU SOCIAL PROBLEMS 11/E PA (alt required, Pearson), SOCIAL PROBLEMS 16/17 (ED: FINSTERBUSCH) (required, McGraw-Hill)","$174.25, $62.25"
MUSI 100: Introduction to Music,Understanding Basic Music Theory,https://cnx.org/contents/KtdLe6cv@3.74:_GmJ4ENa@7/Understanding-Basic-Music-Theo,OpenStax,"BSU, LISTEN 8/E PA & 180 DAY AC - Norton",$107.50
PHIL 101: Introduction to Philosophy,Modern Philosophy,https://open.umn.edu/opentextbooks/BookDetail.aspx?bookId=397,Open Textbook Network,BSU range from no text required to INTRO TO PHILOSOPHY 7/E - Oxford,$96.75
PHIL 103: Ethics,Ethics for A-Level,http://open.umn.edu/opentextbooks/BookDetail.aspx?bookId=475,Open Textbook Network,BSU DOING ETHICS 4/E PA - Norton,$87.25
ENGL 175: Introduction to Literature,"Literature, the Humanities, and Humanity",https://open.umn.edu/opentextbooks/BookDetail.aspx?bookId=204,Open Textbook Network,ENGL/175 not listed on BSU bookstore list,$87.25
